type_p,title,thumbnail,video
video,Narendra Modi's Interview with Hari Shankar Vyas for ETV Central hall /Naya India Part 2,https://i.ytimg.com/vi/McmxBSGF0DI/mqdefault.jpg,https://www.youtube.com/watch?v=McmxBSGF0DI
video,The Narendra Modi Interview on Times Now 3/3,https://i.ytimg.com/vi/EOpcIebKgbw/mqdefault.jpg,https://www.youtube.com/watch?v=EOpcIebKgbw
video,Unseen video of Narendra Modi,https://i.ytimg.com/vi/2N2KJSaOIls/mqdefault.jpg,https://www.youtube.com/watch?v=2N2KJSaOIls
video,Shri Narendra Modi's interview with GSTV,https://i.ytimg.com/vi/M9HYCQ9aA8c/mqdefault.jpg,https://www.youtube.com/watch?v=M9HYCQ9aA8c
video,Ghatna Chakra on Shri Narendra Modi interview with Reuters: 12.07.2013 part 1,https://i.ytimg.com/vi/dEy1ZafoWiA/mqdefault.jpg,https://www.youtube.com/watch?v=dEy1ZafoWiA
video,PM Modi addresses Townhall with Mark Zuckerberg at Facebook headquarters,https://i.ytimg.com/vi/odw3zgobTt8/mqdefault.jpg,https://www.youtube.com/watch?v=odw3zgobTt8
video,K G Suresh on Shahid Siddiqui's Narendra Modi interview (LSTV),https://i.ytimg.com/vi/aCyweKJJqY4/mqdefault.jpg,https://www.youtube.com/watch?v=aCyweKJJqY4
video,Seedhi Baat with Narendra Modi at Aaj Tak - 2/2,https://i.ytimg.com/vi/JgCQb6p0fNw/mqdefault.jpg,https://www.youtube.com/watch?v=JgCQb6p0fNw
type_p,title,thumbnail,video
video,Narendra Modi Interview Outtake #1,https://i.ytimg.com/vi/0X9kOSOXl9E/mqdefault.jpg,https://www.youtube.com/watch?v=0X9kOSOXl9E
